person_id,lifeboat,body_no,death_date
280,,,1912-04-15
281,boat 2,,1941-07-12
282,,,1980-03-09
283,,,1912-04-15
284,boat 2,,1960-02-29
285,boat 2,,1977-03-29
286,boat 2,,1957-12-25
287,,,1912-04-15
288,,,1912-04-15
289,,,1912-04-15
290,,,1912-04-15
291,,,1974-04-04
292,,,1920-07-29
293,,,1912-04-15
294,,,1941-02-11
295,boat 4,,1949-09-02
296,,,1912-04-15
297,,,1912-04-15
298,,,1912-04-15
299,boat 15,,1933-02-13
300,,,1912-04-15
301,,,1912-04-15
302,boat B,,1965-10-30
303,,,1939-04-07
304,boat A,,1932-12-24
305,,,1912-04-15
306,,,1912-04-15
307,,,1912-04-15
308,boat 7,,1940-12-20
309,boat 8,,
310,boat 3,,1979-05-03
311,,,1912-04-15
312,boat 14,,1933-08-04
313,,,1912-04-15
314,,,1912-04-15
315,,,1912-04-15
316,,,1912-04-15
317,,,
318,,,1912-04-15
319,boat 14,,1951-12-16
320,,,1912-04-15
321,,,
322,,,1987-07-29
323,boat 10,,1939-03-26
324,,,1912-04-15
325,boat 13,,1918-04-30
326,boat 15,,1955-06-05
327,,,1954-04-19
328,,,1912-04-15
329,,,1912-04-15
330,,,1912-04-15
331,,,1912-04-15
332,boat 10,,1992-04-14
333,boat 10,,2009-05-31
334,boat 10,,1975-09-13
335,,,1970-10-08
336,,295.0,1912-04-15
337,,,1912-04-15
338,,,1912-04-15
339,,,1912-04-15
340,,,1912-04-15
341,,,1912-04-15
342,,,1912-04-15
343,,,1912-04-15
344,,,1974-06-12
345,,,1912-04-15
346,boat 3,,1970-06-02
347,boat 3,,1970-06-02
348,boat 3,,1973-10-07
349,,,1912-04-15
350,,,1912-04-15
351,,,1912-04-15
352,boat 5,,1950-07-25
353,boat 5,,1974-12-03
354,boat 13,,1919-06-30
355,,,1912-04-15
356,,,1962-04-11
357,,,1962-04-11
358,,,1972-03-03
359,,,1912-04-15
360,,,1912-04-15
361,boat B,,1954-04-12
362,boat 2,,1945-04-21
363,boat 6,,1954-12-31
364,,62.0,1912-04-15
365,,,1912-04-15
366,boat 13,,1962-11-16
367,,,1912-04-15
368,,51.0,1912-04-15
369,,,1912-04-15
370,,,1970-06-02
371,,,1986-06-06
372,,,1976-12-28
373,,,1951-08-09
374,boat 1,,1931-04-20
375,boat 1,,1935-04-20
376,,,1912-04-15
377,boat D,,1950-01-06
378,boat 12,,
379,boat 12,,1959-10-01
380,,,1912-04-15
381,,,1947-04-03
382,,,1926-02-10
383,,,1912-04-15
384,,,1912-04-15
385,,,1961-02-19
386,,,1912-04-15
387,,,1912-04-15
388,boat 7,,1958-04-21
389,,,1912-04-15
390,,,1912-04-15
391,,,1912-04-15
392,,,1912-04-15
393,,,1912-04-15
394,,,1912-04-15
395,,,1912-04-15
396,,,1912-04-15
397,boat 13,,1936-08-06
398,,,1912-04-15
399,boat 4,,1964-01-11
400,,,1912-04-15
401,boat 4,,1936-05-17
402,,,
403,,,1912-04-15
404,,187.0,1912-04-15
405,,,1912-04-15
406,,,1912-04-15
407,,68.0,1912-04-15
408,,,1912-04-15
409,,286.0,1912-04-15
410,,,1912-04-15
411,boat 15,,1938-11-21
412,,,1912-04-15
413,boat 7,,1943-04-08
414,,,1912-04-15
415,boat 4,,1941-08-24
416,,,
417,,,1912-04-15
418,,,1912-04-15
419,boat 5,,1951-11-23
420,,,1912-04-15
421,,,1912-04-15
422,,,
423,,,1912-04-15
424,,,1912-04-15
425,,,1912-04-15
426,,,1912-04-15
427,,,1912-04-15
428,,,1912-04-15
429,,,1912-04-15
430,,,
431,,,
432,boat 10,,1961-04-07
433,boat 10,,1961-04-07
434,,,1912-04-15
435,boat 10,,1961-03-21
436,boat 10,,1968-02-19
437,,,1912-04-15
438,boat 10,,1929-03-08
439,,,1912-04-15
440,,236.0,1912-04-15
441,boat 1,,1967-06-02
442,,,1912-04-15
443,boat 5,,1943-03-30
444,boat 5,,1927-03-11
445,boat 5,,1932-11-16
446,,,1912-04-15
447,,,1912-04-15
448,boat 5,,1972-07-16
449,boat 5,,1955-03-21
450,boat 5,,1913-11-22
451,,,1912-04-15
452,,,1912-04-15
453,boat 9,,1967-10-29
454,,322.0,1912-04-15
455,,,1912-04-15
456,,,1912-04-15
457,,,1912-04-15
458,,,1912-04-15
459,,,1953-03-25
460,,,1912-04-15
461,,,1912-04-15
462,,,1912-04-15
463,,,1912-04-15
464,,,1912-04-15
465,boat 7,,1946-02-17
466,boat 7,,1961-03-20
467,boat 4,,1933-11-14
468,,,1912-04-15
469,,,1912-04-15
470,,,1912-04-15
471,,,1912-04-15
472,,297.0,1912-04-15
473,,47.0,1912-04-15
474,,,1912-04-15
475,,,1912-04-15
476,,,1971-03-01
477,,305.0,1912-04-15
478,boat 13,,1955-02-26
479,boat 5,,1947-10-09
480,boat 5,,1936-10-11
481,,,1912-04-15
482,boat C,,1955-09-22
483,,,1912-04-15
484,boat C,,1982-01-27
485,,,1912-04-15
486,,,1912-04-15
487,,,1912-04-15
488,,,1912-04-15
489,,,1912-04-15
490,,,1912-04-15
491,,,1912-04-15
492,,4.0,1912-04-15
493,,,1912-04-15
494,boat B,,1912-12-04
495,boat 3,,1924-12-29
496,,147.0,1912-04-15
497,boat 3,,1976-04-26
498,,,1912-04-15
499,,,1912-04-15
500,boat 7,,1936-11-05
501,boat 7,,1949-11-12
502,,,1912-04-15
503,,,1912-04-15
504,,,1912-04-15
505,,,1912-04-15
506,,,1912-04-15
507,,98.0,1912-04-15
508,,,1912-04-15
509,,,1912-04-15
510,,,1912-04-15
511,,,1912-04-15
512,,,1912-04-15
513,boat 10,,1957-01-02
514,,,1912-04-15
515,,75.0,1912-04-15
516,,,1912-04-15
517,,,1912-04-15
518,,69.0,1912-04-15
519,boat 11,,1952-12-15
520,,,1912-04-15
521,,35.0,1912-04-15
522,boat 5,,1926-12-01
523,boat 5,,1959-05-26
524,,,1912-04-15
525,,,1912-04-15
526,boat 11,,1986-04-10
527,boat 3,,1944-03-01
528,,,1912-04-15
529,boat 3,,1923-11-14
530,,,1912-04-15
531,boat 15,,1919-03-03
532,,,1912-04-15
533,boat D,,1969-09-02
534,,,1912-04-15
535,,,1912-04-15
536,,,1912-04-15
537,boat 14,,1928-09-07
538,boat 14,,1996-02-14
539,,,1912-04-15
540,,,1912-04-15
541,boat 3,,
542,boat 3,,1922-11-13
543,,,1912-04-15
544,boat 3,,1955-02-01
545,boat 7,,1956-08-21
546,,,1912-04-15
547,,,1919-03-11
548,boat 15,,1961-07-28
549,,,
550,,,1912-04-15
551,,,1943-09-09
552,,,1912-04-15
553,boat C,,1962-03-16
554,,,1912-04-15
555,,,1912-04-15
556,,,1912-04-15
557,,,1947-03-23
558,,,1947-03-23
559,,,1937-01-16
560,,,1983-01-18
561,,,1912-04-15
562,boat 13,,1917-05-09
563,,,1912-04-15
564,,,1912-04-15
565,,,1912-04-15
566,,,1912-04-15
567,,,1912-04-15
568,,,1912-04-15
569,boat 4,,1974-11-14
570,boat 4,,1940-09-22
571,,,1961-05-17
572,,,1956-04-12
573,,,1914-04-15
574,,,1963-10-14
575,,,1912-04-15
576,,,1912-04-15
577,,,1912-04-15
578,boat 10,,1947-10-06
579,,,1960-03-01
580,,,1912-04-15
581,,,1912-04-15
582,,,1912-04-15
583,,38.0,1912-04-15
584,,38.0,1912-04-15
585,,,1918-05-02
586,boat 15,,1939-02-10
587,,,
588,,,1912-04-15
589,,,1912-04-15
590,boat 10,,1939-03-14
591,,,1912-04-15
592,,,1912-04-15
593,boat C,,1958-11-28
594,boat D,,1940-07-05
595,boat D,,1932-07-17
596,,,1912-04-15
597,,120.0,1912-04-15
598,,120.0,1912-04-15
599,,193.0,1912-04-15
600,,,1912-04-15
601,boat 13,,1956-03-06
602,boat 13,,1956-03-06
603,,,1945-12-28
604,,,1914-03-18
605,,,1912-04-15
606,,,1976-12-11
607,,,1912-04-15
608,boat 6,,1964-07-15
609,boat 14,,1976-09-30
610,,,1912-04-15
611,,,1912-04-15
612,,,1912-04-15
613,,,1912-04-15
614,boat C,,1937-10-17
615,,,1912-04-15
616,,328.0,1912-04-15
617,,,1912-04-15
618,,,1912-04-15
619,,,1947-07-09
620,,,1912-04-15
621,,,1945-06-21
622,,,1912-04-15
623,,,1912-04-15
624,,,1912-04-15
625,,,1912-04-15
626,,,1912-04-15
627,,,1912-04-15
628,,,1912-04-15
629,,,1912-04-15
630,,,
631,boat 11,,1974-09-14
632,boat 13,,1962-12-01
633,,143.0,1912-04-15
634,,156.0,1912-04-15
635,,,1912-04-15
636,,,1912-04-15
637,,,1912-04-15
638,,,1967-04-05
639,boat 15,,1968-12-19
640,,,1912-04-15
641,,,1912-04-15
642,boat 15,,1998-03-07
643,boat 15,,1968-04-10
644,,,1912-04-15
645,,,1912-04-15
646,,,1912-04-15
647,,,1912-04-15
648,,,1912-04-15
649,,,1912-04-15
650,,,1912-04-15
651,,,1956-05-14
652,,,1912-04-15
653,boat 15,,1944-01-05
654,,,1912-04-15
655,,,1912-04-15
656,,,1912-04-15
657,,,1912-04-15
658,,,1912-04-15
659,,,1950-08-26
660,,,1912-04-15
661,,,1912-04-15
662,boat 13,,1958-04-12
663,,,1912-04-15
664,,,1912-04-15
665,,,1912-04-15
666,,,1934-07-07
667,,,1971-09-17
668,,58.0,1912-04-15
669,,,1912-04-15
670,,,1912-04-15
671,boat 10,,1944-12-20
672,,,1912-04-15
673,,,1969-12-28
674,,,1920-03-01
675,,70.0,1912-04-15
676,,,1912-04-15
677,,,1950-12-27
678,,,1918-06-09
679,,258.0,1912-04-15
680,,,1912-04-15
681,boat 8,,1958-10-03
682,,,1912-04-15
683,,,1912-04-15
684,,,1912-04-15
685,,,1912-04-15
686,,,1912-04-15
687,,,1912-04-15
688,boat 5,,1927-04-06
689,boat 5,,1962-03-21
690,boat 2,,1959-04-08
691,,,1912-04-15
692,,,1912-04-15
693,boat 2,,1979-10-16
694,boat 2,,1992-08-25
695,,,1912-04-15
696,,,1912-04-15
697,,,1912-04-15
698,,,1912-04-15
699,,,1912-04-15
700,,,
701,,,1912-04-15
702,,,1912-04-15
703,,,1912-04-15
704,,,1912-04-15
705,boat 10,,1978-05-21
706,boat 2,,1971-03-25
707,,,1912-04-15
708,,,1912-04-15
709,,,1912-04-15
710,,,1912-04-15
711,,,1912-04-15
712,,,1912-04-15
713,,,1912-04-15
714,,,
715,,,
716,,,1912-04-15
717,,,1912-04-15
718,boat 13,,1947-08-02
719,,,1912-04-15
720,boat 14,,1986-01-21
721,,,1912-04-15
722,boat 10,,1980-01-10
723,boat 10,,1998-01-28
724,boat 10,,1973-08-08
725,,,1912-04-15
726,,,1912-04-15
727,boat 8,,1944-04-20
728,boat 8,,1944-04-20
729,,,1912-04-15
730,,,1912-04-15
731,,,1912-04-15
732,,,1912-04-15
733,,,1912-04-15
734,boat 12,,1967-12-05
735,,,1912-04-15
736,boat 11,,1963-02-06
737,boat 14,,1950-05-15
738,,,1912-04-15
739,,,1937-11-25
740,,,1928-11-08
741,,,1993-10-08
742,,,1956-06-14
743,,,1956-06-14
744,boat 2,,1972-07-04
745,,,1912-04-15
746,boat 3,,1939-01-13
747,,,1912-04-15
748,,,1912-04-15
749,,,1912-04-15
750,,,1912-04-15
751,,,1912-04-15
752,,,1912-04-15
753,,,1912-04-15
754,,,1912-04-15
755,,,1912-04-15
756,,,1958-10-31
757,,,1946-11-03
758,,,1912-04-15
759,boat 9,,1942-12-17
760,boat 9,,1975-11-23
761,,,1912-04-15
762,,,1912-04-15
763,,298.0,1912-04-15
764,,,1912-04-15
765,,55.0,1912-04-15
766,,,1912-04-15
767,,153.0,1912-04-15
768,,,1912-04-15
769,boat 10,,1965-08-11
770,,,1912-04-15
771,boat 12,,1949-04-29
772,boat 12,,1949-04-29
773,,121.0,1912-04-15
774,,,1912-04-15
775,,,1962-09-20
776,,,1912-04-15
777,,,1973-03-01
778,,,1942-10-10
779,,,1940-01-31
780,,196.0,1912-04-15
781,,,1912-04-15
782,,,1912-04-15
783,,,1912-04-15
784,,,1912-04-15
785,,,1968-12-14
786,boat 2,,1974-02-14
787,boat 13,,1972-01-23
788,,,1912-04-15
789,,,1912-04-15
790,boat 8,,1963-01-17
791,,,1912-04-15
792,,,1912-04-15
793,,,1912-04-15
794,,,1973-09-22
795,,,1974-10-22
796,,61.0,1912-04-15
797,,,1912-04-15
798,,,1970-05-15
799,,,1912-04-15
800,,,1912-04-15
801,,,1912-04-15
802,,,1912-04-15
803,,,1912-04-15
804,,,1975-10-17
805,boat 7,,1942-02-22
806,,,1912-04-15
807,,,1912-04-15
808,,,1938-03-21
809,,,1946-07-09
810,,,1912-04-15
811,boat 6,,1962-10-11
812,,292.0,1912-04-15
813,boat 15,,1948-11-12
814,,,1912-04-15
815,,,1975-11-04
816,,,1957-01-14
817,,,1957-01-14
818,,,1959-12-28
819,,,1959-12-28
820,,,1945-07-19
821,,209.0,1912-04-15
822,,,1912-04-15
823,,,1959-11-03
824,,,1912-04-15
825,boat 7,,1937-07-24
826,,,1957-08-24
827,,,1990-01-30
828,,,1912-04-15
829,,,1912-04-15
830,,,1912-04-15
831,,,1912-04-15
832,,,1912-04-15
833,,,1912-04-15
834,,,1912-04-15
835,,,1912-04-15
836,,,1912-04-15
837,,,1912-04-15
838,boat 14,,1962-01-04
839,boat 14,,1976-05-27
840,boat A,,1948-07-23
841,,201.0,1912-04-15
842,,201.0,1912-04-15
843,,,1912-04-15
844,,,1912-04-15
845,,,1912-04-15
846,boat 6,,1957-11-27
847,boat 15,,1939-01-25
848,,,1912-04-15
849,,,1912-04-15
850,,249.0,1912-04-15
851,,,1912-04-15
852,boat 14,,1919-04-30
853,boat 14,,1962-01-13
854,,230.0,1912-04-15
855,,,1912-04-15
856,,,1912-04-15
857,,,1912-04-15
858,,,1912-04-15
859,boat 11,,1951-06-16
860,,,1984-04-01
861,,309.0,1912-04-15
862,,,1912-04-15
863,,,1912-04-15
864,,,1958-01-30
865,,,1975-04-15
866,,,1912-04-15
867,,,1912-04-15
868,boat 15,,1961-04-15
869,,,1912-04-15
870,,,1912-04-15
871,,,1912-04-15
872,,,1912-04-15
873,,,1912-04-15
874,,,1973-07-04
875,,,1973-07-04
876,,,1912-04-15
877,boat 14,,
878,boat 14,,1975-08-29
879,boat 14,,1979-10-24
880,,,1912-04-15
881,,,
882,,,1970-11-01
883,,,1912-04-15
884,boat 10,,1959-10-15
885,,,1912-04-15
886,,,1968-09-24
887,,,1957-09-29
888,,,
889,,,1971-02-16
890,,,1912-04-15
891,,,1912-04-15
892,,,1912-04-15
893,,,1912-04-15
894,,,1952-04-18
895,,,
896,,,1912-04-15
897,,,1924-02-08
898,,,1924-02-08
899,,,1912-04-15
900,,,1912-07-30
901,,,1926-12-30
902,,,1963-01-23
903,,,1912-04-15
904,,,1912-04-15
905,,,1912-04-15
906,,,1912-04-15
907,,,1912-04-15
908,,,1912-04-15
909,,,1953-07-07
910,,,1912-04-15
911,,,2001-01-30
912,,,1970-01-20
913,,,1970-01-20
914,,43.0,1912-04-15
915,,,
916,,,1912-04-15
917,,,1912-04-15
918,,122.0,1912-04-15
919,boat 6,,1969-04-25
920,boat 6,,1992-06-11
921,boat 5,,1965-09-07
922,,101.0,1912-04-15
923,,,
924,,,1912-04-15
925,,,1912-04-15
926,,,1912-04-15
927,,,1912-04-15
928,,,1976-12-27
929,boat 13,,1971-04-18
930,,,1927-08-13
931,,,1941-11-09
932,,,1954-08-06
933,,181.0,1912-04-15
934,,,1912-04-15
935,,,1912-04-15
936,boat 7,,1972-11-15
937,boat 7,,1972-11-15
938,boat 11,,1963-11-22
939,boat 13,,1977-03-28
940,,,1912-04-15
941,,,1981-05-31
942,,,1970-03-08
943,,,1912-04-15
944,,,1918-10-17
945,,,1912-04-15
946,,,1912-04-15
947,,,1912-04-15
948,,,1912-04-15
949,boat 10,,1917-05-03
950,,,1912-04-15
951,boat B,,1939-12-16
952,,,1975-05-18
953,,,1912-04-15
954,,,1995-11-19
955,,,1952-12-10
956,,,1966-12-07
957,boat 8,,1969-05-28
958,boat 13,,1975-01-01
959,,173.0,1912-04-15
960,,,1912-04-15
961,,,1912-04-15
962,,,1912-04-15
963,,,1912-04-15
964,,,1912-04-15
965,boat 7,,1948-03-18
966,boat 7,,1948-03-18
967,,,1912-04-15
968,,,1912-04-15
969,,,1912-04-15
970,,,
971,,,1930-01-13
972,boat 5,,1978-05-15
973,,,1912-04-15
974,,,1912-04-15
975,,189.0,1912-04-15
976,boat 13,,1954-04-08
977,boat 9,,1968-10-06
978,,,1912-04-15
979,,,1912-04-15
980,boat 9,,1940-04-14
981,,,1925-03-27
982,,,1912-04-15
983,,,1912-04-15
984,,,1912-04-15
985,,,1912-04-15
986,,,1912-04-15
987,,,1912-04-15
988,,,1912-04-15
989,,,1912-04-15
990,,,1912-04-15
991,boat 12,,1930-08-07
992,,,1912-04-15
993,,,1912-04-15
994,,,1912-04-15
995,,,1912-04-15
996,,,1912-04-15
997,,,1912-04-15
998,,,1912-04-15
999,,,1912-04-15
1000,,,1912-04-15
1001,,,1912-04-15
1002,boat 8,,1956-03-24
1003,,,1912-04-15
1004,,,1912-04-15
1005,,,1912-04-15
1006,,,1912-04-15
1007,,,1912-04-15
1008,,,1912-04-15
1009,,,1912-04-15
1010,,,1912-04-15
1011,boat 3,,1968-11-18
1012,,,1951-10-17
1013,,,1912-04-15
1014,,,1912-04-15
1015,,,1912-04-15
1016,,,1912-04-15
1017,,,1912-04-15
1018,,,1912-04-15
1019,,,1912-04-15
1020,,,1912-04-15
1021,boat 6,,1929-12-07
1022,boat 8,,1972-06-02
1023,,,1912-04-15
1024,boat 12,,
1025,boat 12,,
1026,,,1912-04-15
1027,,,1964-03-27
1028,boat 9,,1941-05-25
1029,boat 9,,
1030,,,1912-04-15
1031,,,1912-04-15
1032,,,1912-04-15
1033,,,1912-04-15
1034,,,1974-06-18
1035,,,1912-04-15
1036,boat 7,,1954-01-01
1037,,,1912-04-15
1038,,,1912-04-15
1039,,206.0,1912-04-15
1040,,,1912-04-15
1041,,,1912-04-15
1042,,,1912-04-15
1043,,,1912-04-15
1044,boat 11,,1965-02-24
1045,boat 11,,1954-03-15
1046,boat 11,,2002-07-04
1047,,,1912-04-15
1048,,,1912-04-15
1049,,,1912-04-15
1050,,,1912-04-15
1051,,,1912-04-15
1052,,,1912-04-15
1053,,,
1054,boat 12,,1933-07-09
1055,,,1912-04-15
1056,,,1912-04-15
1057,,,
1058,,,1912-04-15
1059,boat A,,1963-03-01
1060,,,1912-04-15
1061,,,1912-04-15
1062,,,1912-04-15
1063,,,1912-04-15
1064,,,1912-04-15
1065,,,1912-04-15
1066,,,1912-04-15
1067,,,1912-04-15
1068,,,1972-11-10
1069,,,1987-12-04
1070,,,1988-01-09
1071,,,1946-01-11
1072,,232.0,1912-04-15
1073,,,1912-04-15
1074,,,1912-04-15
1075,,,1982-09-29
1076,,,1912-04-15
1077,,,1912-04-15
1078,boat 2,,1956-01-15
1079,,,1912-04-15
1080,,,1912-04-15
1081,,,1912-04-15
1082,,,1912-04-15
1083,,,1912-04-15
1084,,,1912-04-15
1085,,,1912-04-15
1086,,,1922-01-18
1087,,,1912-04-15
1088,,,1912-04-15
1089,,,1912-04-15
1090,,,1912-04-15
1091,,,1912-04-15
1092,,,1912-04-15
1093,boat 11,,1975-04-04
1094,,,1912-04-15
1095,,,1912-04-15
1096,boat C,,1947-07-04
1097,boat 8,,1956-09-12
1098,boat 6,,1943-10-29
1099,,,1912-04-15
1100,,,1912-04-15
1101,,,1912-04-15
1102,,,1912-04-15
1103,boat 12,,1958-07-08
1104,,,1912-04-15
1105,,,1912-04-15
1106,,,1974-11-05
1107,,,1912-04-15
1108,,,1912-04-15
1109,boat 4,,1960-06-25
1110,boat 4,,1939-12-28
1111,boat 4,,1986-01-21
1112,boat 4,,1921-01-13
1113,,,1912-04-15
1114,,,1926-06-05
1115,,,1926-06-05
1116,,,1912-04-15
1117,,,1912-04-15
1118,,,1912-04-15
1119,,67.0,1912-04-15
1120,,,1912-04-15
1121,,,1912-04-15
1122,,,1912-04-15
1123,,,1912-04-15
1124,,,1912-04-15
1125,,,1912-04-15
1126,,,1912-04-15
1127,,,1912-04-15
1128,,,1912-04-15
1129,,,1912-04-15
1130,boat C,,1977-02-21
1131,boat 1,,1959-05-21
1132,boat 1,,1959-05-21
1133,,,1912-04-15
1134,,,1912-04-15
1135,,,1912-04-15
1136,,,1912-04-15
1137,,,1932-02-26
1138,boat 13,,1985-12-01
1139,boat 13,,1985-12-01
1140,boat 13,,1995-09-03
1141,boat 13,,1963-08-15
1142,,,1966-12-15
1143,,,1912-04-15
1144,,284.0,1912-04-15
1145,,,1912-04-15
1146,boat 11,,1961-04-18
1147,,,1956-06-25
1148,,,1912-04-15
1149,,,1912-04-15
1150,,,1912-04-15
